cluster_id,label,size,keywords
0,Cloud Infrastructure Solutions,387,"cloud, infrastructure, solutions, technical, you"
1,Engineering Design Work,670,"engineering, design, work, transmission, project"
2,Work Schedules Time,363,"work, schedules, time, position, lockheed"
3,Engineering You Engineer,319,"engineering, you, engineer, registration, professional"
4,Systems Engineering Design,4599,"systems, engineering, design, work, engineer"
5,Design You Apple,663,"design, you, apple, engineer, your"
6,Cdm Smith Designs,162,"cdm, smith, designs, background, criminal"
7,Process Design Engineering,1712,"process, design, engineering, manufacturing, product"
8,Pdf Gov Work,380,"pdf, gov, work, design, you"
9,Network Security Systems,717,"network, security, systems, support, engineer"
10,Data Use Business,197,"data, use, business, solutions, team"
11,Engineering Projects Geotechnical,385,"engineering, projects, geotechnical, project, design"
12,Nvidia Design You,145,"nvidia, design, you, computing, verification"
13,Onsite Work Role,333,"onsite, work, role, engineering, team"
14,Company External Design,347,"company, external, design, engineer, engineering"
15,Boozallen Usa Engineer,93,"boozallen, usa, engineer, apply, https"
16,Project Engineering Projects,126,"project, engineering, projects, design, calculations"
17,Design Work Position,201,"design, work, position, project, transmission"
18,All Repair Maintenance,324,"all, repair, maintenance, equipment, standards"
19,Work All Building,353,"work, all, building, maintenance, systems"
20,Systems Design Engineer,396,"systems, design, engineer, test, our"
21,Actalent Design Many,317,"actalent, design, many, serves, 500"
22,Equipment Maintenance Work,1081,"equipment, maintenance, work, all, systems"
23,Traffic Design Engineering,266,"traffic, design, engineering, work, projects"
24,Maintenance Repair Mantenimiento,219,"maintenance, repair, mantenimiento, reparacin, equipment"
25,Systems Design Control,1033,"systems, design, control, engineering, equipment"
26,Project Engineering Work,2050,"project, engineering, work, design, construction"
27,Data Support Technical,2268,"data, support, technical, work, team"
